video,playlist,views,idx
IzTRzMf8kKE,PLUl4u3cNGP63CvRtMNrIe12qBKV5Fsh5a,2522,1
pSIAK5hzJeI,PLUl4u3cNGP63CvRtMNrIe12qBKV5Fsh5a,3977,2
QTJuzevTGkQ,PLUl4u3cNGP62In5JXH39ct5JtXja3VGJJ,16216,1
4bwMeTKC0M4,PLUl4u3cNGP62In5JXH39ct5JtXja3VGJJ,11432,2
-KUXPcs2Di4,PLUl4u3cNGP62In5JXH39ct5JtXja3VGJJ,4886,3
SwW1K7Dibc8,PLUl4u3cNGP62In5JXH39ct5JtXja3VGJJ,3826,4
lEnolaQmkMw,PLUl4u3cNGP62In5JXH39ct5JtXja3VGJJ,3509,5
zqXBZ81bWOc,PLUl4u3cNGP62In5JXH39ct5JtXja3VGJJ,14647,6
_GmzGci0Cpw,PLUl4u3cNGP62In5JXH39ct5JtXja3VGJJ,4803,7
f2j567E1Zqo,PLUl4u3cNGP62In5JXH39ct5JtXja3VGJJ,3301,8
lB0PosKEFYc,PLUl4u3cNGP62In5JXH39ct5JtXja3VGJJ,3098,9
JM8vAGReKkc,PLUl4u3cNGP62In5JXH39ct5JtXja3VGJJ,2041,10
8FtCg_bbdW0,PLUl4u3cNGP62In5JXH39ct5JtXja3VGJJ,2037,11
7LyvAVjQUR8,PLUl4u3cNGP61FVzAxBP09w2FMQgknTOqu,16135,1
NXrGOd7gdMw,PLUl4u3cNGP61FVzAxBP09w2FMQgknTOqu,3644,2
Gd0QPYVYnQg,PLUl4u3cNGP61FVzAxBP09w2FMQgknTOqu,2731,3
SgM2wxELF4U,PLUl4u3cNGP61FVzAxBP09w2FMQgknTOqu,1848,4
mJ54DfN95Zo,PLUl4u3cNGP61FVzAxBP09w2FMQgknTOqu,1156,5
kZAFntUFx8I,PLUl4u3cNGP61FVzAxBP09w2FMQgknTOqu,1845,6
nAtTW8ZW33s,PLUl4u3cNGP61FVzAxBP09w2FMQgknTOqu,740,7
YLp8RziRbpg,PLUl4u3cNGP61FVzAxBP09w2FMQgknTOqu,997,8
es6f90JcJ2k,PLUl4u3cNGP61FVzAxBP09w2FMQgknTOqu,779,9
z_xyx-z6arc,PLUl4u3cNGP61FVzAxBP09w2FMQgknTOqu,1701,10
jJSwWRaU9rA,PLUl4u3cNGP61FVzAxBP09w2FMQgknTOqu,459,11
ORbfdLUl0ik,PLUl4u3cNGP61FVzAxBP09w2FMQgknTOqu,559,12
kjX4HCtlJBY,PLUl4u3cNGP61FVzAxBP09w2FMQgknTOqu,882,13
qAVtgc3I6ig,PLUl4u3cNGP61FVzAxBP09w2FMQgknTOqu,700,14
qHPp458m1cs,PLUl4u3cNGP61FVzAxBP09w2FMQgknTOqu,243802,15
kJu5qVfSphw,PLUl4u3cNGP61FVzAxBP09w2FMQgknTOqu,1889,16
rsDEuRpOHqs,PLUl4u3cNGP61FVzAxBP09w2FMQgknTOqu,1637,17
b2VMwG1MTHg,PLUl4u3cNGP61FVzAxBP09w2FMQgknTOqu,493,18
RW2DPHAoXiQ,PLUl4u3cNGP61FVzAxBP09w2FMQgknTOqu,2836,19
3yqpirzxudw,PLUl4u3cNGP61FVzAxBP09w2FMQgknTOqu,874,20
KhT9m9kFzv8,PLUl4u3cNGP61FVzAxBP09w2FMQgknTOqu,745,21
RCSCg40NgD4,PLUl4u3cNGP61FVzAxBP09w2FMQgknTOqu,803,22
i3CzkU4Ft9U,PLUl4u3cNGP61FVzAxBP09w2FMQgknTOqu,468,23
KWaGHCjsSAM,PLUl4u3cNGP61FVzAxBP09w2FMQgknTOqu,391,24
Ijst4g5KFN0,PLUl4u3cNGP61FVzAxBP09w2FMQgknTOqu,4513,25
CjZjVUWMEz0,PLUl4u3cNGP61FVzAxBP09w2FMQgknTOqu,976,26
9uqKU5ZDwfM,PLUl4u3cNGP61FVzAxBP09w2FMQgknTOqu,1097,27
UDAuMq-0mEo,PLUl4u3cNGP61FVzAxBP09w2FMQgknTOqu,694,28
Hz7ouec7dKo,PLUl4u3cNGP61FVzAxBP09w2FMQgknTOqu,1574,29
kzOFhSJFihI,PLUl4u3cNGP61FVzAxBP09w2FMQgknTOqu,527,30
HfRpkTG7Iow,PLUl4u3cNGP61FVzAxBP09w2FMQgknTOqu,722,31
yYto-sIfHjo,PLUl4u3cNGP61FVzAxBP09w2FMQgknTOqu,408,32
HSm76SpZl7o,PLUl4u3cNGP61FVzAxBP09w2FMQgknTOqu,521,33
G8LHGY3i01Q,PLUl4u3cNGP61FVzAxBP09w2FMQgknTOqu,477,34
o7h_sYMk_oc,PLUl4u3cNGP63VIBQVWguXxZZi0566y7Wf,10085,1
H-1-X9bkop8,PLUl4u3cNGP63VIBQVWguXxZZi0566y7Wf,3610,2
ZusiKXcz_ac,PLUl4u3cNGP63VIBQVWguXxZZi0566y7Wf,2167,3
L1ung0wil9Y,PLUl4u3cNGP63VIBQVWguXxZZi0566y7Wf,5045,4
wt7a5BOztuM,PLUl4u3cNGP63VIBQVWguXxZZi0566y7Wf,2643,5
dx98pqJvZVk,PLUl4u3cNGP63VIBQVWguXxZZi0566y7Wf,1969,6
a_R_DpsENfk,PLUl4u3cNGP63VIBQVWguXxZZi0566y7Wf,879,7
6I26_r1BKd8,PLUl4u3cNGP63VIBQVWguXxZZi0566y7Wf,2079,8
ulJm7_aTiQM,PLUl4u3cNGP63VIBQVWguXxZZi0566y7Wf,1575,9
LvX3g45ynu8,PLUl4u3cNGP63VIBQVWguXxZZi0566y7Wf,966,10
nmMUUuXhk2A,PLUl4u3cNGP63VIBQVWguXxZZi0566y7Wf,846,11
d5e_YJGXXFU,PLUl4u3cNGP63VIBQVWguXxZZi0566y7Wf,1118,12
Z7r4aAZ9Vqo,PLUl4u3cNGP63VIBQVWguXxZZi0566y7Wf,1198,13
xDKnMXtZKq8,PLUl4u3cNGP63VIBQVWguXxZZi0566y7Wf,926,14
xwE568oVQ1Y,PLUl4u3cNGP63VIBQVWguXxZZi0566y7Wf,563,15
mXkPCaZUXhg,PLUl4u3cNGP63VIBQVWguXxZZi0566y7Wf,431,16
5sZo3SrLrGA,PLUl4u3cNGP63VIBQVWguXxZZi0566y7Wf,552,17
bd-mavr5YlA,PLUl4u3cNGP63VIBQVWguXxZZi0566y7Wf,550,18
euO8bqSW_Ow,PLUl4u3cNGP63VIBQVWguXxZZi0566y7Wf,445,19
gyaqXwi4BDk,PLUl4u3cNGP63VIBQVWguXxZZi0566y7Wf,355,20
SS5KfIFzfEE,PLUl4u3cNGP63VIBQVWguXxZZi0566y7Wf,955,21
IT_4fw6gfJw,PLUl4u3cNGP63VIBQVWguXxZZi0566y7Wf,1054,22
6JcMuFgnA6U,PLUl4u3cNGP63VIBQVWguXxZZi0566y7Wf,1187,23
IJquEYhiq_U,PLUl4u3cNGP61KHzhg3JIJdK08JLSlcLId,29316,1
zYzEmBlJ77s,PLUl4u3cNGP61KHzhg3JIJdK08JLSlcLId,5841,2
0Q5IimX-AAc,PLUl4u3cNGP61KHzhg3JIJdK08JLSlcLId,3197,3
VT2o4KCEbes,PLUl4u3cNGP61KHzhg3JIJdK08JLSlcLId,1753,4
1Qws70XGSq4,PLUl4u3cNGP61KHzhg3JIJdK08JLSlcLId,1371,5
mhQebe1Y4d0,PLUl4u3cNGP61KHzhg3JIJdK08JLSlcLId,2315,6
CCeq5PChvuk,PLUl4u3cNGP61KHzhg3JIJdK08JLSlcLId,1032,7
U2yAcsj7P_E,PLUl4u3cNGP61KHzhg3JIJdK08JLSlcLId,1467,8
muwNEvhy6Po,PLUl4u3cNGP61KHzhg3JIJdK08JLSlcLId,557,9
wXWbdiOBW5w,PLUl4u3cNGP61KHzhg3JIJdK08JLSlcLId,1043,10
7o5shPC0R2k,PLUl4u3cNGP61KHzhg3JIJdK08JLSlcLId,1104,11
Hzv9WuqIzA0,PLUl4u3cNGP61KHzhg3JIJdK08JLSlcLId,2006,12
hNR3WTboo_U,PLUl4u3cNGP61KHzhg3JIJdK08JLSlcLId,604,13
P6AX8KdXAts,PLUl4u3cNGP61KHzhg3JIJdK08JLSlcLId,571,14
gF4Mkkhyz1Q,PLUl4u3cNGP61KHzhg3JIJdK08JLSlcLId,421,15
BFwc2XA8rSk,PLUl4u3cNGP61KHzhg3JIJdK08JLSlcLId,519,16
UySc4jxbqi4,PLUl4u3cNGP61KHzhg3JIJdK08JLSlcLId,522,17
mBdrvfytLDQ,PLUl4u3cNGP61KHzhg3JIJdK08JLSlcLId,549,18
74_BKWR3n0k,PLUl4u3cNGP61KHzhg3JIJdK08JLSlcLId,1186,19
yKa-KxY-YJk,PLUl4u3cNGP61KHzhg3JIJdK08JLSlcLId,587,20
RDvMzWDzZkc,PLUl4u3cNGP61GOiMKYgTzHpf8x6iiblaV,10994,1
n0QLcw-CHmk,PLUl4u3cNGP61GOiMKYgTzHpf8x6iiblaV,1608,2
Qo2B2y6cLf4,PLUl4u3cNGP61GOiMKYgTzHpf8x6iiblaV,1271,3
XGyUFPCwlPI,PLUl4u3cNGP61GOiMKYgTzHpf8x6iiblaV,524,4
lemfZDGJQaQ,PLUl4u3cNGP61GOiMKYgTzHpf8x6iiblaV,398,5
Ayvwr28VKBk,PLUl4u3cNGP61GOiMKYgTzHpf8x6iiblaV,409,6
QcXr9NShqnw,PLUl4u3cNGP61GOiMKYgTzHpf8x6iiblaV,274,7
YcxHJcGU8u0,PLUl4u3cNGP61GOiMKYgTzHpf8x6iiblaV,275,8
L-Y4K7LfHms,PLUl4u3cNGP61GOiMKYgTzHpf8x6iiblaV,272,9
UbwGHnn3B_M,PLUl4u3cNGP61GOiMKYgTzHpf8x6iiblaV,167,10
